title,category,old_filename,old_slug,new_slug,is_bad_old,published
विलियम शेक्सपियरको जीवनी,Nepali Story/Katha,/2018/06/blog-post_62.html,blog-post_62,viliyama-sheksapiyarako-jivani,True,2018-06-09
SEE Science Notes 2077/2078 Class 10 Science Notes,Class 10,/2021/03/see-science-notes-2077-class-10-science.html,see-science-notes-2077-class-10-science,see-science-notes-2077-2078-class-10-science-notes,False,2021-03-24
नया वर्ष २०७५ कविता |  New Year 2019 Poems,Nepali Poems/Kabita,/2018/12/new-year-2019-poems.html,new-year-2019-poems,new-year-2019-poems,False,2018-12-08
Essay on Mother(Aama) in Nepali (आमा निबन्ध),Nepali Essay/Nibandha,/2021/09/essay-on-motheraama-in-nepali.html,essay-on-motheraama-in-nepali,essay-on-mother-aama-in-nepali-ama-nibandha,False,2021-09-10
सदा जीवन उच्च विचार  निबंध नेपालीमा,Nepali Essay/Nibandha,/2018/05/blog-post_10.html,blog-post_10,sada-jivana-uchcha-vichara-nibamdha-nepalima,True,2018-05-10
Digital Marketing Nepal Grow Your Online Business Iconic,,/2025/05/digital-marketing-nepal-grow-your.html,digital-marketing-nepal-grow-your,digital-marketing-nepal-grow-your-online-business-iconic,False,2025-05-15
मेरो लक्ष्य कविता,Nepali Poems/Kabita,/2019/06/blog-post_24.html,blog-post_24,mero-lakshya-kavita,True,2019-06-24
Thanka Complete Note SEE Nepali Question & Answers Class 10 Notes,Class 10,/2021/09/class-10-see-nepali-thanka-guide-book.html,class-10-see-nepali-thanka-guide-book,thanka-complete-note-see-nepali-question-answers-class-10,False,2021-09-10
CLASS 9 MATH QUESTIONS 2077/2078 PRACTICE QUESTIONS,CLASS 9,/2019/07/class-9-math-questions-2075-practice.html,class-9-math-questions-2075-practice,class-9-math-questions-2077-2078-practice-questions,False,2019-07-13
Essay on Aim in life in Nepali,Nepali Essay/Nibandha,/2019/01/essay-on-aim-in-life-in-nepali.html,essay-on-aim-in-life-in-nepali,essay-on-aim-in-life-in-nepali,False,2019-01-01
New Nepali Gajal,Gajal,/2019/06/new-nepali-gazal.html,new-nepali-gaza,new-nepali-gajal,False,2019-06-24
AAMA KO MAYA KABITA (AAMA NEPALI KAWITA),Nepali Poems/Kabita,/2019/06/aama-ko-maya-kabita-aama-nepali-kawita.html,aama-ko-maya-kabita-aama-nepali-kawita,aama-ko-maya-kabita-aama-nepali-kawita,False,2019-06-14
तिहारको बारेमा निबन्ध नेपालीमा | Essay on Tihar in Nepali,Nepali Essay/Nibandha,/2019/01/essay-on-tihar-in-nepali.html,essay-on-tihar-in-nepali,essay-on-tihar-in-nepali,False,2019-01-02
समसामयिक सामान्य ज्ञान 2019 -2075,Nepaliblog,/2019/01/2019-2075.html,2019-2075,samasamayika-samanya-jnana-2019-2075,False,2019-01-10
